movieId,id,title,tags
259,6071,Kiss of Death,"jimmy kilmartin is an ex-con living in astoria in the new york city borough of queens, trying to stay clean and raising a family with his wife bev. but when his cousin ronnie causes him to take a fall for driving an illegal transport of stolen cars, a police officer named calvin hart is injured and jimmy lands back in prison. in exchange for an early release, he is asked to help bring down a local crime boss named little junior brown. jimmy remarries and attempts to renew a relationship with his child. but he is sent undercover by detective hart to work with junior and infiltrate his operations. as soon as little junior kills an undercover federal agent with jimmy watching, the unscrupulous district attorney and the feds further complicate his life. he must take down junior or face the consequences. action crime drama thriller hoodlum davidcaruso samuell.jackson nicolascage barbetschroeder"
260,11,Star Wars,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire. adventure action sciencefiction android galaxy hermit deathstar lightsaber jedi rescuemission empire rebellion planet smuggler theforce spaceopera galacticwar stormtrooper totalitarianism markhamill harrisonford carriefisher georgelucas
261,9587,Little Women,"with their father away as a chaplain in the civil war, jo, meg, beth and amy grow up with their mother in somewhat reduced circumstances. they are a close family who inevitably have their squabbles and tragedies. but the bond holds even when, later, male friends start to become a part of the household. drama romance depression motherdaughterrelationship pregnant desire chalkboard  nightgown louisamayalcott birthoftwins womandirector winonaryder gabrielbyrne trinialvarado gillianarmstrong"
266,4476,Legends of the Fall,"an epic tale of three brothers and their father living in the remote wilderness of 1900s usa and how their lives are affected by nature, history, war, and love. adventure drama romance war brotherbrotherrelationship montana basedonnovel worldwari journeyroundtheworld bradpitt anthonyhopkins aidanquinn edwardzwick"
294,63020,The Perez Family,"in the midst of the mariel boat lift -- a hurried exodus of refugees from cuba going to america -- an immigration clerk accidentally presumes that dissident juan raul perez and dorita evita perez are married. united by their last name and a mutual resolve to emigrate, dorita and juan agree to play along. but it gets complicated when the two begin falling for each other just as juan reunites with his wife, carmela, whom he hasn't seen in decades. comedy drama romance immigration independentfilm womandirector politicalprisoner cubanrefugees marisatomei alfredmolina anjelicahuston miranair"
296,680,Pulp Fiction,"a burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. their adventures unfurl in three stories that ingeniously trip back and forth in time. thriller crime transporter brothel drugdealer boxer massage stolenmoney crimeboss dancecontest junkyard kamikaze ambiguousending briefcase redemption heirloom pulpfiction referencetoalgreen theft brutality johntravolta samuell.jackson umathurman quentintarantino"
303,12106,The Quick and the Dead,"a mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman. action western gunslinger revenge prairie shootout pistol sharonstone genehackman russellcrowe samraimi"
315,2636,The Specialist,"may munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. she hires ray quick, a retired explosives expert to kill her parent's killers. when ned trent, embittered ex-partner of quick's is assigned to protect one of quick's potential victims, a deadly game of cat and mouse ensues. action thriller explosive revenge explosivesexpert sylvesterstallone sharonstone jameswoods luisllosa"
317,11395,The Santa Clause,"scott calvin is an ordinary man, who accidentally causes santa claus to fall from his roof on christmas eve and is knocked unconscious. when he and his young son finish santa's trip and deliveries, they go to the north pole, where scott learns he must become the new santa and convince those he loves that he is indeed, father christmas. fantasy drama comedy family holiday christmasparty santaclaus deal christmastree christmas timallen judgereinhold wendycrewson johnpasquin"
318,278,The Shawshank Redemption,"framed in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope. drama crime prison corruption policebrutality prisoncell delinquent paroleboard escapefromprison wrongfulimprisonment framedformurder 1940s timrobbins morganfreeman bobgunton frankdarabont"
327,9067,Tank Girl,"based on the british cult comic-strip, our tank-riding anti-heroine fights a mega-corporation, which controls the world's water supply. action comedy fantasy sciencefiction destroy dystopia reincarnation desert artialarts womandirector loripetty ice-t naomiwatts racheltalalay"
328,9059,Tales from the Crypt: Demon Knight,a man on the run is hunted by a demon known as the collector. horror comedy thriller prostitute key jesuschrist chosenone god goodvsevil blood demon cryptkeeper billyzane williamsadler jadapinkettsmith ernestr.dickerson
329,193,Star Trek: Generations,captain jean-luc picard and the crew of the enterprise-d find themselves at odds with the renegade scientist soran who is destroying entire star systems. only one man can help picard stop soran's scheme...and he's been dead for seventy-eight years. sciencefiction action adventure thriller basedontvseries death explodingplanet mountaincabin solarsystem patrickstewart jonathanfrakes brentspiner davidcarson
330,25066,Tales from the Hood,a strange funeral director tells four strange tales of horror with an african american focus to three drug dealers he traps in his place of business. crime horror thriller prison childabuse kukluxklan policebrutality ghetto anthology evildoll murder hood dirtycop funeralhome clarencewilliamsiii corbinbernsen davidalangrier rustycundieff
337,1587,What's Eating Gilbert Grape,"gilbert has to care for his brother arnie and his obese mother, which gets in the way when love walks into his life. romance drama brotherbrotherrelationship mentallydisabled iowa widow dysfunctionalfamily independentfilm johnnydepp leonardodicaprio juliettelewis lassehallström"
338,9271,Virtuosity,"the law enforcement technology advancement centre (letac) has developed sid version 6.7: a sadistic, intelligent, and dangerous virtual reality entity which is synthesized from the personalities of more than 150 serial killers, and only one man can stop him. action crime sciencefiction thriller artificialintelligence android hologram computerprogram virtualreality ex-cop visualeffect policetraining denzelwashington russellcrowe kellylynch brettleonard"
344,3049,Ace Ventura: Pet Detective,"he's ace ventura: pet detective. jim carrey is on the case to find the miami dolphins' missing mascot and quarterback dan marino. he goes eyeball to eyeball with a man-eating shark, stakes out the miami dolphins and woos and wows the ladies. whether he's undercover, under fire or underwater, he always gets his man . . . or beast! comedy mystery dolphin mascot privatedetective pets jimcarrey seanyoung courteneycox tomshadyac"
348,11382,Bullets Over Broadway,"set in 1920's new york city, this movie tells the story of idealistic young playwright david shayne. producer julian marx finally finds funding for the project from gangster nick valenti. the catch is that nick's girl friend olive neal gets the part of a psychiatrist, and olive is a bimbo who could never pass for a psychiatrist as well as being a dreadful actress. agreeing to this first compromise is the first step to broadway's complete seduction of david, who neglects longtime girl friend ellen. meanwhile david puts up with warner purcell, the leading man who is a compulsive eater, helen sinclair, the grand dame who wants her part jazzed up, and cheech, olive's interfering hitman / bodyguard. eventually, the playwright must decide whether art or life is more important. action comedy thriller lover(female) talent mafiaboss author johncusack diannewiest jennifertilly woodyallen"
350,10731,The Client,"a street-wise kid, mark sway, sees the suicide of jerome clifford, a prominent louisiana lawyer, whose current client is barry 'the blade' muldano, a mafia hit-man. before jerome shoots himself, he tells mark where the body of a senator is buried. clifford shoots himself and mark is found at the scene, and both the fbi and the mafia quickly realize that mark probably knows more than he says. drama thriller crime mystery suicide brotherbrotherrelationship witnessprotection principalwitness brother investigation searchforwitnesses lawyer gangster susansarandon tommyleejones mary-louiseparker joelschumacher"
352,34152,Crooklyn,"from spike lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s brooklyn. comedy drama blackpeople 1970s jazzmusician straßenkids dysfunctionalfamily independentfilm teacher urban parenthood alfrewoodard delroylindo davidpatrickkelly spikelee"
353,9495,The Crow,"exactly one year after young rock guitarist eric draven and his fiancée are brutally killed by a ruthless gang of criminals, draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge. fantasy action thriller halloween arson detroit brandonlee rochelledavis erniehudson alexproyas"
355,888,The Flintstones,modern stone age family the flintstones hit the big screen in this live-action version of the classic cartoon. fred helps barney adopt a child. barney sees an opportunity to repay him when slate mining tests its employees to find a new executive. but no good deed goes unpunished. fantasy comedy family manager jealousy badmother-in-law adoption family'sdailylife stoneage plan friendship bestfriend dinosaur johngoodman elizabethperkins rickmoranis brianlevant
357,712,Four Weddings and a Funeral,four weddings and a funeral is a british comedy about a british man named charles and an american woman named carrie who go through numerous weddings before they determine if they are right for one another. comedy drama romance upperclass loveatfirstsight weddingvows marriageproposal yuppie loveofone'slife lonewolf snob witness bride bridegroom bridesmaid funeral clumsyfellow friendship wedding gaycouple hughgrant andiemacdowell jamesfleet mikenewell
366,11596,New Nightmare,"freddy's back … and he's badder than ever! nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on freddy's persona. can nancy stop this new threat in time to save her son? horror thriller mystery fantasy fire kidnapping nightmare earthquake insomnia supernatural celebrity mascot alternatedimension fame hospital hollywood storytelling alternatereality self-referential reboot filmindustry disfigurement sleepwalking metafilm dreams cameos heatherlangenkamp robertenglund mikohughes wescraven"
367,854,The Mask,"when timid bank clerk stanley ipkiss discovers a magical mask containing the spirit of the norse god loki, his entire life changes. while wearing the mask, ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer tina carlyle. unfortunately, under the mask's influence, ipkiss also robs a bank, which angers junior crime lord dorian tyrell, whose goons get blamed for the heist. romance comedy crime fantasy dualidentity bank mockery green balloon jailcell norsemythology jimcarrey camerondiaz nancyfish chuckrussell"
370,36593,The Naked Gun 33⅓: The Final Insult,"frank drebin is persuaded out of retirement to go undercover in a state prison. there he is to find out what top terrorist, rocco, has planned for when he escapes. frank's wife, jane, is desperate for a baby.. this adds to frank's problems. a host of celebrities at the academy awards ceremony are humiliated by frank as he blunders his way trying to foil rocco. comedy crime undercover spoof stateprison leslienielsen priscillapresley georgekennedy petersegal"
374,11011,Ri¢hie Ri¢h,"billionaire heir richie rich has it all, including reggie jackson as a batting coach and claudia schiffer as a personal trainer -- but no playmates. what's more, scoundrel laurence van dough is scheming to take over the family empire. uh-oh! enter faithful butler cadbury to save the day. comedy family family liferaft privateplane toothbrush gluttony magnifyingglass rubberboat macaulayculkin johnlarroquette edwardherrmann donaldpetrie"
